SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,DEFAULT_SITE_CTXT,DEFAULT_SITE_NAME,OTHER_SITE_REFERENCES,OTHER_SITE_NAMES,AWRC_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
11472,509189,Meteorological,Rainfall/Climate,MET,NORTH DANDALUP RIVER,RAMPE,509189 [MET],RAMPE [MET],,50,416989.00,6398749.00,-32.545535780,116.115901310,GDA94
11616,509339,Meteorological,Rainfall/Climate,MET,BARRITT BROOK,RADIO MAST,509339 [MET],RADIO MAST [MET],,50,403034.00,6388254.00,-32.639063150,115.966207840,GDA94
11620,509345,Meteorological,Rainfall/Climate,MET,LITTLE DANDALUP TRIB,WARREN CATCHMENT,509345 [MET],WARREN CATCHMENT [MET],,50,408839.00,6393384.00,-32.593300000,116.028600000,GDA94
11621,509346,Meteorological,Rainfall/Climate,MET,LITTLE DANDALUP TRIB,BENNETTS CATCHMENT,509346 [MET],BENNETTS CATCHMENT [MET],,50,409359.00,6393359.00,-32.593600000,116.034100000,GDA94
11622,509347,Meteorological,Rainfall/Climate,MET,LITTLE DANDALUP TRIB,HANSENS CATCHMENT,509347 [MET],HANSENS CATCHMENT [MET],,50,410727.00,6393630.00,-32.591217820,116.048729290,GDA94
11623,509348,Meteorological,Rainfall/Climate,MET,LITTLE DANDALUP TRIB,HIGGENS CATCHMENT,509348 [MET],HIGGENS CATCHMENT [MET],,50,414519.00,6394599.00,-32.582780730,116.089219340,GDA94
11624,509349,Meteorological,Rainfall/Climate,MET,NORTH DANDALUP TRIB,LEWIS CATCHMENT,509349 [MET],LEWIS CATCHMENT [MET],,50,412034.00,6396289.00,-32.567300000,116.062900000,GDA94
11625,509350,Meteorological,Rainfall/Climate,MET,NORTH DANDALUP TRIB,JONES CATCHMENT,509350 [MET],JONES CATCHMENT [MET],,50,415039.00,6398549.00,-32.547192020,116.095117040,GDA94
11670,509400,Meteorological,Rainfall/Climate,MET,SOUTH DANDALUP RIVER,DEL PARK 3316,509400 [MET],DEL PARK 3316 [MET],,50,404289.00,6388549.00,-32.636511700,115.979616220,GDA94
11797,509548,Meteorological,Rainfall/Climate,MET,SOUTH DANDALUP TRIB,SCOTT CATCHMENT,509548 [MET],SCOTT CATCHMENT [MET],,50,419139.00,6388849.00,-32.635000000,116.137900000,GDA94
9257270,509579,Meteorological,Rainfall/Climate,MET,LITTLE DANDALUP TRIB,BATES CATCHMENT,509579 [MET],BATES CATCHMENT [MET],,50,408739.00,6395549.00,-32.573800000,116.027700000,GDA94
16326,614062,Surface,Stream Gauging,AWRC,LITTLE DANDALUP TRIB,BATES CATCHMENT,614062 [AWRC],BATES CATCHMENT [AWRC],614062,50,408709.00,6394529.00,-32.582900000,116.027300000,GDA94

